pair,dir,signal_time,entry_time,exit_time,entry_ref,fill,sl,tp,exit,sl_dist,sl_pips,r,outcome,quality,bars,year,weekday,session
EURUSD,-1,2019-02-06 09:30:00+00:00,2019-02-06 09:45:00+00:00,2019-02-06 10:45:00+00:00,1.13895,1.13886,1.1396183778170532,1.137613244365893,1.1396483778170532,0.0006683778170534201,6.6837781705342,-1.179539172213728,loss,3,4,2019,Wednesday,London
EURUSD,-1,2019-02-06 13:45:00+00:00,2019-02-06 14:00:00+00:00,2019-02-06 18:00:00+00:00,1.13866,1.13857,1.1395859253759837,1.1368081492480326,1.1368081492480326,0.0009259253759837307,9.259253759837307,1.902799942269213,win,2,16,2019,Wednesday,NY
EURUSD,-1,2019-02-07 13:45:00+00:00,2019-02-07 14:00:00+00:00,2019-02-07 14:30:00+00:00,1.13307,1.133,1.1348922863432869,1.1294254273134265,1.1349222863432868,0.0018222863432867614,18.222863432867612,-1.0548761177783468,loss,1,2,2019,Thursday,NY
EURUSD,-1,2019-02-08 08:15:00+00:00,2019-02-08 08:30:00+00:00,2019-02-08 11:00:00+00:00,1.13307,1.13298,1.1343365155094352,1.13053696898113,1.1343665155094351,0.0012665155094350481,12.665155094350482,-1.0947481488430464,loss,1,10,2019,Friday,London
EURUSD,-1,2019-02-11 08:45:00+00:00,2019-02-11 09:00:00+00:00,2019-02-11 15:45:00+00:00,1.13113,1.13105,1.133022644978732,1.127344710042536,1.127344710042536,0.0018926449787320214,18.926449787320212,1.9577311112760671,win,0,27,2019,Monday,London
EURUSD,-1,2019-03-04 14:30:00+00:00,2019-03-04 14:45:00+00:00,2019-03-06 13:30:00+00:00,1.13271,1.1326100000000001,1.1346039654775955,1.1289220690448092,1.1289220690448092,0.0018939654775954255,18.939654775954253,1.9472007271606246,win,2,187,2019,Monday,NY
EURUSD,-1,2019-04-02 09:30:00+00:00,2019-04-02 09:45:00+00:00,2019-04-02 13:15:00+00:00,1.11973,1.11965,1.1207124665727028,1.1177650668545938,1.1207424665727028,0.0009824665727030625,9.824665727030624,-1.1119630968177192,loss,3,14,2019,Tuesday,London
EURUSD,-1,2019-04-18 15:00:00+00:00,2019-04-18 15:15:00+00:00,2019-04-22 16:15:00+00:00,1.12468,1.12459,1.1258934091805248,1.1222531816389498,1.1259234091805248,0.001213409180525037,12.13409180525037,-1.0988949168390703,loss,1,196,2019,Thursday,NY
EURUSD,-1,2019-04-24 13:45:00+00:00,2019-04-24 14:00:00+00:00,2019-04-24 17:15:00+00:00,1.12032,1.12023,1.121461297410667,1.1180374051786661,1.1180374051786661,0.001141297410666963,11.41297410666963,1.9211423778247307,win,1,13,2019,Wednesday,NY
EURUSD,-1,2019-04-25 09:15:00+00:00,2019-04-25 09:30:00+00:00,2019-04-26 15:15:00+00:00,1.11369,1.11359,1.1162965153783793,1.1084769692432417,1.1163265153783792,0.0026065153783792414,26.06515378379241,-1.0498750174575031,loss,2,119,2019,Thursday,London
